[64, 42, 73, 41, 32, 53, 16, 24, 57, 42, 74, 55, 36]
[42, 64, 41, 32, 53, 16, 24, 57, 42, 73, 55, 36, 74]
[42, 41, 32, 53, 16, 24, 57, 42, 64, 55, 36, 73, 74]
[41, 32, 42, 16, 24, 53, 42, 57, 55, 36, 64, 73, 74]
[32, 41, 16, 24, 42, 42, 53, 55, 36, 57, 64, 73, 74]
[32, 16, 24, 41, 42, 42, 53, 36, 55, 57, 64, 73, 74]
[16, 24, 32, 41, 42, 42, 36, 53, 55, 57, 64, 73, 74]
[16, 24, 32, 41, 42, 36, 42, 53, 55, 57, 64, 73, 74]
[16, 24, 32, 41, 36, 42, 42, 53, 55, 57, 64, 73, 74]
[16, 24, 32, 36, 41, 42, 42, 53, 55, 57, 64, 73, 74]
[64, 42, 73, 41, 32, 53, 16, 24, 57, 42, 74, 55, 36]
[42, 64, 41, 32, 53, 16, 24, 57, 42, 73, 55, 36, 74]
[42, 41, 32, 53, 16, 24, 57, 42, 64, 55, 36, 73, 74]
[41, 32, 42, 16, 24, 53, 42, 57, 55, 36, 64, 73, 74]
[32, 41, 16, 24, 42, 42, 53, 55, 36, 57, 64, 73, 74]
[32, 16, 24, 41, 42, 42, 53, 36, 55, 57, 64, 73, 74]
[16, 24, 32, 41, 42, 42, 36, 53, 55, 57, 64, 73, 74]
[16, 24, 32, 41, 42, 36, 42, 53, 55, 57, 64, 73, 74]
[16, 24, 32, 41, 36, 42, 42, 53, 55, 57, 64, 73, 74]
[16, 24, 32, 36, 41, 42, 42, 53, 55, 57, 64, 73, 74]
